text,char_count,word_count,last_word
Lorem,5,1,Lorem
Lorem ipsum,11,2,ipsum
Lorem ipsum dolor,17,3,dolor
Lorem ipsum dolor sit,21,4,sit
"Lorem ipsum dolor sit amet,",27,5,"amet,"
"Lorem ipsum dolor sit amet, consectetur",39,6,consectetur
"Lorem ipsum dolor sit amet, consectetur adipisicing",51,7,adipisicing
"Lorem ipsum dolor sit amet, consectetur adipisicing elit,",57,8,"elit,"
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed",61,9,sed
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do",64,10,do
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod",72,11,eiusmod
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor",79,12,tempor
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt",90,13,incididunt
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut",93,14,ut
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore",100,15,labore
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et",103,16,et
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore",110,17,dolore
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna",116,18,magna
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",124,19,aliqua.
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut",127,20,Ut
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim",132,21,enim
"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad",135,22,ad
